	Domain	Phylum	Class	Order	Family	Genus
N1	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N2	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.1
N3	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	ZD0405	
N5	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N6	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	ZD0405	
N7	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N8	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N11	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N12	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	ZD0405	
N13	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.4
N14	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade		
N15	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N17	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N18	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.1
N19	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N20	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	ZD0405	
N21	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ib.1
N23	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N24	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ib.2
N26	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N27	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
N28	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	IV	IV
N30	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N31	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	OM75_clade
N33	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N35	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N36	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.1
N37	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade		
N38	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N39	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N40	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Id
N41	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Litoreibacter
N43	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N44	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.1
N45	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N46	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade		
N47	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina
N48	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N49	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N50	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N51	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N52	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade		
N53	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marinoscillum
N54	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N56	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N57	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
N58	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N59	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N60	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N61	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N63	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	marine_group
N64	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.1
N65	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N66	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N67	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	OM43_clade
N68	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
