	Cruise	position	Station	Type	Date	Time	Latitude	Longitude	cast	Niskin	Cast_Type	depth	Pressure	Density00	Density11	Sal11	SoundVel	SoundVel1	Oxygen_uM	Oxygen_V	Temperature	Conductivity	Conductivity1	BeamT	BeamAt	Fluorescence	Turbidity	UVP5	POC	PON	TOC	TOC_QF	TOC_sd	DOC	DOC_QF	DOC_sd	TN	TN_QF	TN_sd	TDN	TDN_QF	TDN_sd	NH4	NH4_sd	PO4	PO4_sd	SiO4	SiO4_sd	N_N	N_N_sd	NO2	NO2_sd	O2_Winkler	O2_Winkler_sd	Chl_a_Fluor	Phaeo_Fluor	T_a_Fluor	TChl_a	TChl_b	TChl_c	Alpha_beta_Car	But_fuco	Hex_fuco	Allo	Diadino	Diato	Fuco	Perid	Zea	MV_Chl_a	DV_Chl_a	Chlide_a	MV_Chl_b	DV_Chl_b	Chl_c2	Chl_c3	Lut	Neo	Viola	Phytin_a	Phide_a	Pras	Gyro	TChl	PPC	PSC	PSP	TCar	TAcc	TPg	DP	TAcc_Tchla	PSC_TCar	PPC_TCar	TChl_TCar	PPC_Tpg	PSP_TPg	TChla_TPg	BactProd	BactProd_QF	BactProd_sd	BactAbund	BactAbund_QF	BactAbund_sd	PhytoC	NPP	Pro_Influx	Syn_Influx	Pico_Influx	Nano_Influx	TPhyto	Nano	Pico	TPhyto_Sytox	Nano_Sytox	Pico_Sytox	TPhyto_ROS	Nano_ROS	Pico_ROS	Z_MLD	Z_XML	N2	Eddy	Eddy_Loc	Eddy_Polarity	Eddy_Retention	Subregion	MSLA	SLA_std	DMS	EZD	EZD_Morel	Vitamins
NAAMES1-1_S1	AT32	1	1	Cast	11/12/15	12:17	51.034	-43.617	morning	23	Deep	5	12.242	1026.7754	1026.7755	35.5755	1502.98	1502.98	0	2.4688	13.5758	4.214164	4.213954	98.5154	0.0599	0.3981	0.1771	4.5994343																											0.219179974	0.086292445	0.305472419	0.288	0.054	0.063	0.01	0.033	0.055	0.013	0.01		0.028	0.007	0.009	0.277	0.008	0.003	0.054		0.031	0.032		0.005	0.005	0.003	0.008	0.013		0.405	0.042	0.123	0.528	0.165	0.282	0.57	0.199	0.98	0.75	0.25	2.45	0.07	0.93	0.51																									Y	Periphery	Anticyclone	Weak	Subtropical	24.7	0.2	0.79		105	no
NAAMES1-2_S2	AT32	2	1	Cast	11/12/15	12:17	51.034	-43.617	morning	20	Deep	25	27.392	1026.8437	1026.8444	35.6024	1503.55	1503.56	0	2.4516	13.6688	4.2262	4.226675	98.5846	0.057	0.3504	0.1782	4.6094017	34.2					56.5	2	0.4				10.4	2	0.3	0.05		0.43		2.54		6.57		0.13		5.42	0.03	0.244656553	0.108130575	0.352787128	0.248	0.05	0.053	0.01	0.029	0.044	0.011	0.008		0.023	0.006	0.008	0.238	0.007	0.003	0.05		0.027	0.026		0.005	0.004	0.002	0.009	0.012		0.351	0.037	0.102	0.453	0.139	0.242	0.49	0.171	0.98	0.73	0.27	2.53	0.08	0.92	0.51	0.74	2	0.142	2.63	2																				Y	Periphery	Anticyclone	Weak	Subtropical	24.7	0.2	0.79		105	no
NAAMES1-3_S3	AT32	3	1	Cast	11/12/15	12:17	51.034	-43.617	morning	18	Deep	50	53.523	1026.9595	1026.9591	35.6084	1504.1	1504.1	0	2.4464	13.699	4.231592	4.231487	98.5939	0.0566	0.3425	0.1759	4.6094017	32.6					56.1	2	0.6				10.6	2	0.2	0		0.39		2.59		6.63		0.13		5.42	0.01	0.209403832	0.092051275	0.301455107	0.272	0.05	0.059	0.011	0.031	0.053	0.012	0.01		0.026	0.006	0.008	0.261	0.008	0.003	0.05		0.029	0.03		0.005	0.004	0.003	0.007	0.013		0.381	0.041	0.116	0.497	0.157	0.266	0.538	0.186	0.98	0.74	0.26	2.43	0.08	0.92	0.51	0.84	2	0.194	2.76	2																				Y	Periphery	Anticyclone	Weak	Subtropical	24.7	0.2	0.79		105	no
NAAMES1-4_S4	AT32	4	1	Cast	11/12/15	12:17	51.034	-43.617	morning	16	Deep	75	76.372	1027.0599	1027.0598	35.6149	1504.57	1504.58	0	2.4385	13.7271	4.23596	4.235993	98.5988	0.0564	0.3742	0.1831	4.6094017																											0.226026795	0.091879197	0.317905992																																																																		Y	Periphery	Anticyclone	Weak	Subtropical	24.7	0.2	0.79		105	no
NAAMES1-5_S5	AT32	5	1	Cast	11/12/15	12:17	51.034	-43.617	morning	13	Deep	100	100.84	1027.1681	1027.1681	35.617	1505.01	1505.02	0	2.4276	13.7377	4.238236	4.238372	98.6353	0.055	0.3414	0.1832	4.6094017	48.7					56.5	2	1.2				11.1	2	1	0		0.41		2.73		6.6		0.17		5.39	0.01	0.214882327	0.097120881	0.312003209	0.263	0.05	0.056	0.011	0.03	0.051	0.011	0.009		0.025	0.006	0.009	0.254	0.007	0.002	0.05		0.028	0.028		0.005	0.004	0.002	0.008	0.012		0.369	0.04	0.112	0.481	0.152	0.258	0.521	0.182	0.98	0.74	0.26	2.43	0.08	0.92	0.5	1.56	2	0.0718	2.54	2																				Y	Periphery	Anticyclone	Weak	Subtropical	24.7	0.2	0.79		105	no
NAAMES1-6_S6	AT32	6	1	Cast	11/12/15	12:17	51.034	-43.617	morning	11	Deep	150	149.378	1027.5052	1027.5054	35.726	1505.38	1505.37	0	2.1789	13.5601	4.23497	4.234537	99.5143	0.0195	0.0355	0.1737	4.5944507	9.1					52.5	2	0.4				14.3	2	0.1	0		0.65		4.39		10.95		0.11		4.77	0.01	0.004338421	0.011186445	0.015524867																																										0.07	2	0.0592	0.97	2																				Y	Periphery	Anticyclone	Weak	Subtropical	24.7	0.2	0.79		105	no
NAAMES1-7_S7	AT32	7	1	Cast	11/12/15	12:17	51.034	-43.617	morning	9	Deep	200	199.724	1027.8106	1027.8109	35.5996	1503.18	1503.18	0	2.0307	12.6914	4.137929	4.137902	99.5721	0.0171	0.0216	0.1704	4.6143854	20.2					50.1	2	0.7				17.7	2	0.1	0.01		0.83		5.9		13.78		0		4.46	0	0.003031143	0.008855788	0.011886931																																										0.07	2	0.0796	0.93	2																				Y	Periphery	Anticyclone	Weak	Subtropical	24.7	0.2	0.79		105	no
NAAMES1-8_S8	AT32	8	1	Cast	11/12/15	12:17	51.034	-43.617	morning	7	Deep	300	301.657	1028.4267	1028.4272	35.2134	1496.08	1496.09	0	1.9225	10.2889	3.870454	3.870948	99.5939	0.0163	0.0268	0.1713	4.5994343						50.6	2	0.1				19.7	2	0.1	0.18		1.07		8.33		16.36		0.04		4.52	0.03																																													0.5	2	0.305	0.97	2																				Y	Periphery	Anticyclone	Weak	Subtropical	24.7	0.2	0.79		105	no
NAAMES1-9_S9	AT32	9	2	Cast	11/14/15	11:29	54.1	-40.167	morning	24	Deep	5	5.594	1027.3636	1027.3642	34.6543	1472.52	1472.52	0	2.5642	5.5285	3.363475	3.363599	97.3192	0.1087	0.7096	0.0875	4.7339937						53.6	2	0.1				14.6	2	0	0.07		0.55		4.36		10.11		0.21		6.91	0	0.287942319	0.081363302	0.369305621	0.496	0.059	0.148	0.017	0.062	0.155	0.018	0.031	0.001	0.078	0.017	0.006	0.488		0.008	0.059		0.069	0.079	0.008	0.006	0.01	0.006	0.011	0.01		0.703	0.073	0.312	1.015	0.385	0.592	1.088	0.395	1.19	0.81	0.19	1.83	0.07	0.93	0.46	9.63	2	0.69	3.83	2		5.75															95.27	66.61	6.97E-06	N				Subpolar			0.64		49.5	no
NAAMES1-10_S10	AT32	10	2	Cast	11/14/15	11:29	54.1	-40.167	morning	20	Deep	25	26.257	1027.4588	1027.4594	34.6541	1472.86	1472.86	0	2.5575	5.5294	3.364471	3.364612	97.3182	0.1088	0.8785	0.09	4.5994343	51.2					53.9	2	0.8				13.7	2	0	0		0.54		4.47		10.02		0.25		6.87	0.02	0.344251256	0.121673983	0.465925239	0.475	0.069	0.138	0.016	0.059	0.141	0.017	0.03	0.001	0.072	0.016	0.007	0.467		0.008	0.069		0.066	0.072	0.011	0.006	0.012	0.005	0.011	0.01		0.682	0.071	0.288	0.97	0.359	0.566	1.041	0.381	1.19	0.8	0.2	1.9	0.07	0.93	0.46	10.06	2	0.13	4.22	2																				N				Subpolar			0.64		49.5	no
