	OstreococcusI	Micromonas	SynechococcusIV	Diatoms	ProchlorococcusHLI	Pelagophyceae	SynechococcusI	Bathycoccus	OstreococcusII	ProchlorococcusLLI	Cryptophyceae	Rappemonad	Prymnesiophyceae	Bolidophyceae	SynechococcusII	ProchlorococcusHLII	ASV357	Dictyochophyceae	Other plastid	Other Cyanobacteria	Chrysophyceae	Not assigned	Cruise	Station	depth	Temperature	name	position	Chao1Phyto	Totalphyto	TotalHet	Totalreads	phytoperc	hetperc	TChl_a
NAAMES1-1_S1	0.022474492	0.312528725	0.259215001	0.040536814	0.075098814	0.041456016	0.040031253	0.094402059	0.026564942	0.02169317	0.020773968	0	0.013420351	0.001011122	0.001884364	0.006388455	0.000505561	0.009054141	0.005974814	0.005423293	0.000643441	0.000919202	AT32	1	5	13.5758	1/5m	1	77.5625	21758	173221	194979	11.15915047	88.84084953	0.288
NAAMES1-2_S2	0.014229249	0.240269705	0.391536852	0.025947454	0.085933504	0.03255057	0.044222274	0.049244362	0.01543827	0.035108114	0.018925831	0	0.009114159	0.000604511	0.003348059	0.008881655	0.000186003	0.006556615	0.00511509	0.011113694	0.000186003	0.001488026	AT32	1	25	13.6688	1/25m	2	68	21505	195269	216774	9.920470167	90.07952983	0.248
NAAMES1-3_S3	0.022904665	0.364709162	0.218871957	0.037121353	0.0675525	0.042139008	0.026993124	0.095800037	0.028479836	0.01993124	0.026714365	0	0.016725516	0.000650437	0.001626092	0.005482252	0.000278759	0.008362758	0.009199034	0.004042	0	0.002415908	AT32	1	50	13.699	1/50m	3	86.1	21530	222327	243857	8.828944832	91.17105517	0.272
NAAMES1-4_S4	0.020351129	0.280974561	0.26728771	0.030670011	0.074596919	0.051021139	0.041920459	0.080042995	0.021927625	0.024937298	0.040272304	0	0.024937298	0	0.001648155	0.007094231	0.000429953	0.012110355	0.011178789	0.005661053	0.00064493	0.002293085	AT32	1	75	13.7271	1/75m	4	86.1	13959	155667	169626	8.229280889	91.77071911	NA
NAAMES1-5_S5	0.022086903	0.34642378	0.19842089	0.041903189	0.060480958	0.056610589	0.020177521	0.105583652	0.028898751	0.024254309	0.034678501	0.000258025	0.026163691	0.001238518	0.001393333	0.00567654	0.000619259	0.010888637	0.008153576	0.003715554	0.000619259	0.001754567	AT32	1	100	13.7377	1/100m	5	94.4375	19384	184835	204219	9.491771089	90.50822891	0.263
NAAMES1-9_S9	0.001107215	0.195792582	0.061265916	0.066248385	0	0.163683336	0.08986898	0.093559697	0.001291751	0	0.04133604	0	0.070492711	0.075659716	0	0	0	0.01974534	0.097434951	0	0.019929876	0.002583502	AT32	2	5	5.5285	2/5m	6	69.25	5419	92449	97868	5.537049904	94.4629501	0.496
NAAMES1-10_S10	0	0.142319931	0.135956031	0.020827307	0	0.113682384	0.228232572	0.06884582	0	0	0.012149262	0.000578536	0.038472664	0.056985826	0	0	0	0.007520972	0.163436506	0	0.008678045	0.002314145	AT32	2	25	5.5294	2/25m	7	38	3459	63669	67128	5.152842331	94.84715767	0.475
NAAMES1-11_S11	0	0.094931921	0.199319213	0.010590015	0	0.055597579	0.468608169	0.017019667	0	0	0.01172466	0	0.013993949	0.022314675	0	0	0	0	0.104765507	0	0	0.001134644	AT32	2	50	5.5396	2/50m	8	23	2644	85742	88386	2.991423981	97.00857602	0.513
NAAMES1-12_S12	0	0.044376435	0.197589901	0.009181331	0	0.026396327	0.571155318	0.016449885	0	0	0.007842387	0.000382555	0.010711553	0.013580719	0	0	0	0.00420811	0.092195868	0	0.00592961	0	AT32	2	75	5.5473	2/75m	9	29	5230	130844	136074	3.843496921	96.15650308	0.511
NAAMES1-13_S13	0	0.008298755	0.164419087	0.006224066	0	0.003112033	0.687240664	0.003112033	0	0	0	0	0	0.003112033	0	0	0	0.004149378	0.10373444	0	0	0.01659751	AT32	2	100	5.5652	2/100m	10	16	1934	115251	117185	1.650381875	98.34961813	0.432
